,title,subContent,oid,aid,thumbnail
0,[영상 인터뷰] 국밥 멸시 발언 해명! SKT T1 '페이커' 이상혁,LoL 프로게이머에게 평소 궁금했던 것들을 질문하는 코너! 이번 영상 인터뷰의 주인공은 진에어 그린윙스와의 경기에서 2:0으로 승리한 SKT T1의 '페이커...,442,0000096981,http://imgnews.naver.net/image/thumb154/442/2019/03/29/96981.jpg
1,[영상 인터뷰] '김민아 아나운서에게 영상 편지'…'너구리' 장하권,"젠지e스포츠를 꺾고 롤챔스 스프링 10승 고지에 올른 담원게이밍 '너구리' 장하권이 ""재미있게 게임을 했는데 승리해서 기분 좋다""고 밝혔다. 담원은 28일 ...",236,0000187009,http://imgnews.naver.net/image/thumb154/236/2019/03/29/187009.jpg
2,정규 시즌 MVP '초비'-'데프트'로 압축,스프링 정규 시즌 MVP 경쟁을 펼치고 있는 '데프트' 김혁규(왼쪽)와 '초비' 정지훈. 리그 오브 레전드 챔피언스 코리아(이하 LCK) 2019 스프링 정...,347,0000129316,http://imgnews.naver.net/image/thumb154/347/2019/03/29/129316.jpg
3,"PS 꿈 좌절된 한화생명, kt의 희망 꺾을까",한화생명e스포츠. 포스트 시즌 진출이 불발된 한화생명e스포츠가 kt 롤스터를 승강전으로 내몰지 관심이 모이고 있다. 한화생명은 29일 서울 종로구 그랑서울 ...,347,0000129314,http://imgnews.naver.net/image/thumb154/347/2019/03/29/129314.jpg
4,"3위 노리는 킹존, '큰 산' 그리핀 넘어야 가능","3위에 대한 열망을 드러낸 포즈를 취하고 있는 킹존 선수들. 킹존 드래곤X가 자력으로 오를 수 있는 가장 높은 순위는 정규 시즌 3위다. 12승5패, 세트 ...",347,0000129315,http://imgnews.naver.net/image/thumb154/347/2019/03/29/129315.jpg
5,[LCK 스프링] 여유로운 그리핀과 아직 갈 길 바쁜 킹존의 만남,29일 종로 롤파크에서 2019 스무살우리 롤챔스 스프링 스플릿 정규 시즌 마지막 주 2일 차 일정이 펼쳐진다. 2경기에서 그리핀과 킹존 드래곤X가 대결한다...,442,0000096988,http://imgnews.naver.net/image/thumb154/442/2019/03/29/96988.jpg
6,"펍지주식회사, 배틀그라운드 ‘서바이버 패스 3: 와일드 카드’ 공개",펍지주식회사가 플레이어언노운스 배틀그라운드(이하 배틀그라운드) PC 버전에 ‘서바이버 패스 3: 와일드 카드’를 28일 업데이트했다고 밝혔다.3월 28일부터...,236,0000187010,http://imgnews.naver.net/image/thumb154/236/2019/03/29/187010.jpg
7,[롤 챌린저스] ‘포니’ 임주완 해설이 꼽은 ‘미완의 대기’ 4인,[OSEN=임재형 인턴기자] 프로 스포츠에서 2부 리그는 정상급 선수를 키워내는 ‘육성의 장’이 되곤 한다. 한국 LOL e스포츠 시장이 발전하며 롤 챌린저...,109,0003978825,http://imgnews.naver.net/image/thumb154/109/2019/03/29/3978825.jpg
8,"[LCK 스프링] 승강전 탈출 원하는 kt 롤스터, 첫 과제는 바텀 듀오",kt 롤스터가 가장 먼저 해결해야 할 과제는 바텀 듀오다.29일 종각 LoL 파크에서 열리는 2019 스무살우리 LCK 스프링 스플릿 43일 차 1경기에 k...,442,0000096986,http://imgnews.naver.net/image/thumb154/442/2019/03/29/96986.jpg
9,"OGN vs 아프리카TV, 서울시 e스포츠 경기장 입찰 '잡음'",[아이뉴스24 김나리 기자] 게임전문채널 'OGN'을 운영하는 CJ ENM과 아프리카TV가 서울 상암동에 위치한 e스포츠 경기장 '서울OGNe스타디움' 입찰...,031,0000486723,http://imgnews.naver.net/image/thumb154/031/2019/03/29/486723.jpg
10,"[오!쎈 인터뷰] 김목경 담원 감독, ""더 노력, 마지막 경기도 최선 다하겠다""","[OSEN=종로, 고용준 기자] ""다른 분들은 '스크림 강자'라고 좋게 이야기 해주시지만, 첫 주차 대진부터 고민이 많네요."" ""목표였던 10승을 달성해서 ...",109,0003978648,http://imgnews.naver.net/image/thumb154/109/2019/03/29/3978648.jpg
11,"[인터뷰] 배틀그라운드와 결혼한 남자, '지수보이' 김지수의 이야기","""안녕하세요! '지수보이' 김지수입니다.""2017 PUBG 아시아 인비테이셔널(이하 PAI)부터 2019 PUBG 코리아 리그(이하 PKL)까지, 배틀그라운...",442,0000097029,http://imgnews.naver.net/image/thumb154/442/2019/03/29/97029.jpg
12,[롤챔스] 생존 위한 kt 롤스터의 마지막 전투,kt 롤스터가 한화생명전을 앞두고 있다. 잔류가 달린 만큼 남은 두 경기에 사활을 걸어야 한다.플레이오프가 확정돼 결승 진출에 목적을 두고 있는 상위 팀과 ...,236,0000187023,http://imgnews.naver.net/image/thumb154/236/2019/03/29/187023.jpg
